image,question,refs,fusion,skill,win
VizWiz_val_00000017.jpg,Can you see if this is 32 bit or 64 bit?  Thanks.,"['unanswerable', 'no', 'unanswerable', '32', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'no']",cd,unanswerable,skill wins
VizWiz_val_00000022.jpg,Can you tell what this is?,"['bottle something dropper lid', 'unanswerable', 'bottle meds', 'some kind drops', 'dropper bottle', 'medicine', 'dropper bottle', 'yes', 'nose drops', 'bottle dropper']",no,unanswerable,skill wins
VizWiz_val_00000049.jpg,What kind of pop is this?,"['nestea', 'unanswerable', 'nestle tea', 'unanswerable', 'orange nestea', 'orange juice', 'unanswerable', 'nestea', 'orange', 'nestle']",unanswerable,nestea,fusion wins
VizWiz_val_00000058.jpg,I cannot move the camera slightly closer to the monitor.,"['yes', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",yes,unanswerable,skill wins
VizWiz_val_00000061.jpg,What is this?,"['email tab', 'desktop', 'close up computer screen', 'computer screen', 'computer screen', 'program window', 'computer screen', 'unanswerable', 'screen', 'unanswerable']",unanswerable,computer screen,skill wins
VizWiz_val_00000068.jpg,What does the screen say?,"['windows please', 'unanswerable', 'unanswerable', 'image cutoff cant read', 'unanswerable', 'please wait', 'unanswerable', 'unanswerable', 'windows', 'please wait windows']",nothing,unanswerable,skill wins
VizWiz_val_00000085.jpg,please explain what is on this piece of paper,"['unanswerable', 'stress advertisement', 'stress relieve instructions', 'talks about stress relief', 'unanswerable', 'unanswerable', 'tips to manage stress', 'stress', 'managing stress eating right', 'how to heal stress']",i dont know,unanswerable,skill wins
VizWiz_val_00000093.jpg,"Is this picture clear, and where are we now?","['card', 'unanswerable', 'no', 'yes unanswerable', 'yes on windows repair screen', 'no', 'no', 'unanswerable', 'yes', 'yes hit close']",unanswerable,computer screen,fusion wins
VizWiz_val_00000096.jpg,Is this caffeinated or decaffeinated?,"['caffeinated', 'caffeinated', 'caffeinated', 'caffeinated', 'caffeinated', 'unanswerable', 'caffeinated', 'caffeinated', 'caffeinated', 'caffeinated']",unanswerable,pepsi,fusion wins
VizWiz_val_00000108.jpg,What does this screen say?,"['expanding windows files 52%', 'expanding windows files', 'expanding windows files 52%', 'expanding windows files', 'unanswerable', 'unanswerable', 'thats all they need', 'expanding windows files', 'expanding windows files', 'expanding windows']",installing windows,unanswerable,skill wins
VizWiz_val_00000122.jpg,What is this item?,"['mexican steak marinade', 'bottle', 'unanswerable', 'bottled sauce', 'marinade', 'hot sauce', 'unanswerable', 'bottle sauce', 'unanswerable', 'unanswerable']",unanswerable,sauce,fusion wins
VizWiz_val_00000127.jpg,What does the screen say?,"['windows 7 home premium', 'windows', 'windows 7 home premium', 'windows 7 home premium', 'windows 7 home premium', 'windows 7 home premium', 'windows 7 home premium', 'windows home premium', 'windows 7 home premium', 'windows home premium']",starting windows,windows,skill wins
VizWiz_val_00000129.jpg,"Ok I have taken a picture of a sticker close up now hopefully you can see it. Again, I need the model number. Thank You","['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'cannot see model number in image', 'unanswerable']",no,unanswerable,skill wins
VizWiz_val_00000133.jpg,Can you tell us what this screen says? Thanks.,"['something about remembering your password', 'next', 'if you need help will show you hint for your password', 'you remember you passwords will show you your hint next', 'hint for password', 'password setup screen', 'unanswerable', 'next', 'no not image full screen', 'no']",next,unanswerable,fusion wins
VizWiz_val_00000155.jpg,Is this piece of mail?,"['yes', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'yes', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",unanswerable,no,fusion wins
VizWiz_val_00000156.jpg,Can you tell what I'm playing?,"['no', 'angry birds', 'angry birds', 'no', 'angry birds', 'angry birds', 'angry birds', 'unanswerable', 'unanswerable', 'no']",unanswerable,no,skill wins
VizWiz_val_00000172.jpg,What's on this channel?,"['sports game', 'hockey game', 'maple leafs at rangers', 'maple leafs', 'unanswerable', 'unanswerable', 'unanswerable', 'sports team information', 'maple leafs at new york rangers', 'unanswerable']",unanswerable,yes,fusion wins
VizWiz_val_00000179.jpg,Is this person attractive?,"['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",unanswerable,no,fusion wins
VizWiz_val_00000201.jpg,Can you read this seven day forecast and write it out in the app so I can use voice over to read it? It's a seven day forecast,"['wed 100 thu 101 80 fri 102 80 sat 10280 sun 101 80 mon 10081 tues 100 80', 'wed 100 thu 101 fri 100 sat 102 sun 101 mon 100 tue 100', '100 101 100 102 101 100 100', 'unanswerable', '100 80 101 81 100 80 102 80 101 80 1000 81 100 80', 'yes', 'yes', 'yes', 'wed 100 thu 101 80 fri100 81 sat102 80 sun101 80 mon100 81 tue 100 80', 'yes wed 100 thu 100 fri 100 sat 102 sun 101 mon 100 tue 100']",yes,unanswerable,fusion wins
VizWiz_val_00000204.jpg,What does this CD say?,"['death cab for cutie codes keys', 'data music', 'unanswerable', 'unanswerable', 'death cab for cutie codes keys', 'hpl', 'death cab for cutie codes keys', 'death cab for cutie codes keys', 'unanswerable', 'death cab for cutie codes keys']",unanswerable,harry potter,fusion wins
VizWiz_val_00000221.jpg,"Hi, what do you see in the screen?","['file storage sizes', 'unanswerable', 'words', 'contacts', 'unanswerable', 'unanswerable', 'storage information', 'languages to choose from', 'unanswerable', 'unanswerable']",yes,unanswerable,skill wins
VizWiz_val_00000229.jpg,Please tell me about this calendar? ,"['month october has horse images', 'october', 'october', 'unanswerable', 'month october', 'unanswerable', 'october month', 'october', 'october', 'unanswerable']",unanswerable,no,fusion wins
VizWiz_val_00000231.jpg,Just curious to see whether you could read what was on the computer screen. Just testing this application.,"['australia lucky google go to googlecom', 'no', 'partially', 'no cannot read what on computer screen', 'partial', 'no', 'no', 'google', 'barely', 'unanswerable']",no,unanswerable,fusion wins
VizWiz_val_00000232.jpg,Is it possible then that we have a blank screen? If so this may mean that something is happening.,"['no', 'yes', 'yes driver installation', 'no blank screen query screen', 'yes', 'no', 'no', 'waiting for driver to be installed', 'driver installation', 'unanswerable']",error message,unanswerable,skill wins
VizWiz_val_00000244.jpg,Which one of the three images is the Google logo?,"['unanswerable', '0', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'first image', 'left']",unanswerable,laptop,fusion wins
