image,question,refs,base,fusion,win
VizWiz_val_00000001.jpg,Can you tell me what this medicine is please?,"['no', 'unanswerable', 'night time', 'unanswerable', 'night time', 'night time cold medicine', 'night time', 'night time', 'night time', 'night time medicine']",unanswerable,melatonin,base wins
VizWiz_val_00000003.jpg,Which one is the blue one?,"['right', 'right', 'right', 'omni sorb', 'right', '1 on right', 'on right', 'right', 'right 1', 'right 1']",blue,right,fusion wins
VizWiz_val_00000015.jpg,"Which one of these items is the children's dictionary? Is it the one on the right, or the one on the left?","['left', 'left', 'left', 'left', 'left', 'right', 'left', 'left', 'left', 'left']",unanswerable,left,fusion wins
VizWiz_val_00000017.jpg,Can you see if this is 32 bit or 64 bit?  Thanks.,"['unanswerable', 'no', 'unanswerable', '32', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'no', 'no']",unanswerable,cd,base wins
VizWiz_val_00000022.jpg,Can you tell what this is?,"['bottle something dropper lid', 'unanswerable', 'bottle meds', 'some kind drops', 'dropper bottle', 'medicine', 'dropper bottle', 'yes', 'nose drops', 'bottle dropper']",unanswerable,no,base wins
VizWiz_val_00000045.jpg,What is the expiration date on this bus pass?,"['jul 08 11', 'unanswerable', 'blurry', 'july 08 11', 'jul 08 11', 'july 8 2011', 'unanswerable', 'unanswerable', 'jul 0811', 'july 8 2011']",unanswerable,no,base wins
VizWiz_val_00000048.jpg,What store is this?,"['original pancake house', 'original pancake house', 'original pancake house', 'original pancake house', 'original pancake house', 'original pancake house', 'original pancake house', 'original pancake house', 'pancake house', 'pancake house']",unanswerable,original pancake house,fusion wins
VizWiz_val_00000060.jpg,Please tell me the them of this book,"['clive cussler dirk cussler', 'unanswerable', 'clive cussler dirk cussler', 'clive cussler dirk cussler', 'sci fy', 'suspense', 'olive cussler dirk cussler', 'action', 'unanswerable', 'clive cussler']",unanswerable,clive cussler dirk cussler,fusion wins
VizWiz_val_00000061.jpg,What is this?,"['email tab', 'desktop', 'close up computer screen', 'computer screen', 'computer screen', 'program window', 'computer screen', 'unanswerable', 'screen', 'unanswerable']",laptop,unanswerable,fusion wins
VizWiz_val_00000065.jpg,Could you please tell me what's on my screen?  ,"['no', 'white black screen', 'unanswerable', 'unanswerable', 'white box', 'unanswerable', 'unanswerable', 'unanswerable', 'blank', 'pop up without options text']",yes,unanswerable,fusion wins
VizWiz_val_00000078.jpg,"Can see what's on the screen, like is it a log in screen or anything like that? Thank you.","['no', 'error message', 'yes', 'unanswerable', 'unanswerable', 'no', 'unanswerable', 'unanswerable', 'insert password reset disk dialog box', 'yes']",yes,unanswerable,fusion wins
VizWiz_val_00000081.jpg,"Please tell me the title of this book, thank you for your time.","['crescent dawn', 'unanswerable', 'unanswerable', 'sea greed', 'clive cussle dirk cuss', 'unanswerable', 'unanswerable', 'olive cussler dirk cussler', 'unanswerable', 'unanswerable']",unanswerable,clive cussler dirk cussler,base wins
VizWiz_val_00000083.jpg,Which one of the three images is the Google logo?,"['unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', '0', 'first', 'unanswerable', '1 that say google']",unanswerable,laptop,base wins
VizWiz_val_00000089.jpg,What does the screen say?,"['file', 'unanswerable', 'expanding windows filters', 'thats all information we need right now your computer will resume installation', 'unanswerable', 'unanswerable', 'windows', 'unanswerable', 'unanswerable', 'expanding windows files']",yes,unanswerable,fusion wins
VizWiz_val_00000092.jpg,"The previous screen presented country, timezone, currency and keyboard and I went ahead and after I got a response from the web worker I selected Alt-N followed by next so I'm not sure if I ","['windows', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable']",yes,unanswerable,fusion wins
VizWiz_val_00000096.jpg,Is this caffeinated or decaffeinated?,"['caffeinated', 'caffeinated', 'caffeinated', 'caffeinated', 'caffeinated', 'unanswerable', 'caffeinated', 'caffeinated', 'caffeinated', 'caffeinated']",pepsi,unanswerable,fusion wins
VizWiz_val_00000105.jpg,Has the text on the screen changed?,"['no', 'unanswerable', 'no', 'unanswerable', 'yes', 'unanswerable', 'unanswerable', 'yes', 'unanswerable', 'unanswerable']",yes,unanswerable,fusion wins
VizWiz_val_00000107.jpg,Please tell me the title of this book. Thank you for your time.,"['clive cussler dirk cussler', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'olive cussler dirk cussler', 'unanswerable', 'unanswerable']",unanswerable,clive cussler dirk cussler,base wins
VizWiz_val_00000108.jpg,What does this screen say?,"['expanding windows files 52%', 'expanding windows files', 'expanding windows files 52%', 'expanding windows files', 'unanswerable', 'unanswerable', 'thats all they need', 'expanding windows files', 'expanding windows files', 'expanding windows']",unanswerable,installing windows,base wins
VizWiz_val_00000117.jpg,Please tell me the name of this book.,"['clive cussler', 'unanswerable', 'unanswerable', 'unanswerable', 'unanswerable', 'olive cussler dirk cussler', 'unanswerable', 'authors clive cussler dirk cussler', 'unanswerable', 'unanswerable']",unanswerable,clive cussler dirk cussler,base wins
VizWiz_val_00000125.jpg,Can you tell me what this is a picture of?,"['computer screen', 'computer screen showing online chat session', 'unanswerable', 'unanswerable', 'computer screen', 'computer screen', 'computer screen showing comment box', 'computer screen', 'computer screen', 'online chat on computer screen']",unanswerable,computer screen,fusion wins
